"loop","Parameter","Estimate","StandardError","DF","tValue","Probt","Alpha","Lower","Upper","Gradient"
7,"b02",-1.5952,0.2571,500,-6.21,"<.0001",0.05,-2.1003,-1.0901,6.6e-05
7,"b11",0.09396,0.3358,500,0.28,"0.7797",0.05,-0.5658,0.7537,-2e-05
7,"b12",-0.2496,0.2903,500,-0.86,"0.3904",0.05,-0.82,0.3208,-7.92e-06
7,"b21",0.09264,0.1645,500,0.56,"0.5736",0.05,-0.2306,0.4159,-0.00041
7,"b22",0.03833,0.1444,500,0.27,"0.7908",0.05,-0.2454,0.322,-0.00014
7,"b31",-0.1548,0.1528,500,-1.01,"0.3114",0.05,-0.4549,0.1453,-0.00016
7,"b32",-0.2537,0.1376,500,-1.84,"0.0658",0.05,-0.5241,0.01662,0.000245
7,"b41",1.2276,0.2097,500,5.85,"<.0001",0.05,0.8156,1.6396,8e-05
7,"b42",1.3477,0.1918,500,7.03,"<.0001",0.05,0.9708,1.7245,0.000122
7,"b51",-0.4196,0.1647,500,-2.55,"0.0111",0.05,-0.7431,-0.09605,-0.00014
7,"b52",-0.2246,0.1432,500,-1.57,"0.1173",0.05,-0.506,0.05667,-2e-04
8,"b01",-1.9866,0.2904,500,-6.84,"<.0001",0.05,-2.5572,-1.4159,-5e-04
8,"b02",-1.1791,0.2265,500,-5.21,"<.0001",0.05,-1.624,-0.7342,-0.0032
8,"b11",-0.2967,0.3225,500,-0.92,"0.3580",0.05,-0.9304,0.337,-0.00067
8,"b12",-0.9228,0.2846,500,-3.24,"0.0013",0.05,-1.4819,-0.3637,0.001909
8,"b21",-0.03911,0.1579,500,-0.25,"0.8045",0.05,-0.3494,0.2712,0.000191
8,"b22",-0.06195,0.1421,500,-0.44,"0.6631",0.05,-0.3412,0.2173,-0.00134
8,"b31",-0.02904,0.1605,500,-0.18,"0.8565",0.05,-0.3444,0.2863,-1.7e-06
8,"b32",-0.1834,0.1444,500,-1.27,"0.2047",0.05,-0.4671,0.1003,0.00157
8,"b41",1.1456,0.1891,500,6.06,"<.0001",0.05,0.774,1.5172,-0.00016
8,"b42",1.0594,0.1666,500,6.36,"<.0001",0.05,0.7322,1.3866,0.000212
8,"b51",-0.4719,0.1589,500,-2.97,"0.0031",0.05,-0.784,-0.1598,0.00025
8,"b52",-0.3577,0.1393,500,-2.57,"0.0105",0.05,-0.6314,-0.08398,0.000885
9,"b01",-2.206,0.3106,500,-7.1,"<.0001",0.05,-2.8163,-1.5958,-1e-05
9,"b02",-1.6701,0.2575,500,-6.49,"<.0001",0.05,-2.176,-1.1642,9.346e-06
9,"b11",-0.3443,0.3491,500,-0.99,"0.3245",0.05,-1.0302,0.3416,-1e-05
9,"b12",-0.4138,0.3041,500,-1.36,"0.1742",0.05,-1.0112,0.1837,4.337e-06
9,"b21",0.2956,0.1792,500,1.65,"0.0996",0.05,-0.05644,0.6476,6.819e-06
9,"b22",0.2141,0.1566,500,1.37,"0.1721",0.05,-0.09352,0.5217,2.884e-08
9,"b31",-0.2814,0.1568,500,-1.8,"0.0732",0.05,-0.5894,0.02657,1e-05
9,"b32",-0.1162,0.1369,500,-0.85,"0.3961",0.05,-0.3851,0.1527,-2e-05
9,"b41",1.3517,0.2108,500,6.41,"<.0001",0.05,0.9376,1.7657,-2e-05
9,"b42",1.3059,0.184,500,7.1,"<.0001",0.05,0.9445,1.6673,4.534e-06
9,"b51",-0.3488,0.1698,500,-2.05,"0.0404",0.05,-0.6823,-0.01527,2.3e-05
9,"b52",-0.1953,0.1447,500,-1.35,"0.1777",0.05,-0.4796,0.08899,1.1e-05
10,"b01",-2.1799,0.3154,500,-6.91,"<.0001",0.05,-2.7995,-1.5603,-8e-05
10,"b02",-1.4902,0.249,500,-5.99,"<.0001",0.05,-1.9794,-1.0011,0.000157
10,"b11",-0.1114,0.3506,500,-0.32,"0.7509",0.05,-0.8002,0.5775,-6e-05
10,"b12",-0.5811,0.3034,500,-1.92,"0.0560",0.05,-1.1771,0.01497,0.000121
10,"b21",0.11,0.169,500,0.65,"0.5155",0.05,-0.2221,0.442,1.5e-05
10,"b22",-0.07162,0.1526,500,-0.47,"0.6390",0.05,-0.3714,0.2282,2.3e-05
10,"b31",-0.3817,0.1666,500,-2.29,"0.0224",0.05,-0.709,-0.05433,-0.00019
10,"b32",-0.3457,0.1474,500,-2.34,"0.0194",0.05,-0.6353,-0.05601,-7e-05
10,"b41",1.0676,0.1762,500,6.06,"<.0001",0.05,0.7214,1.4137,3.9e-05
10,"b42",1.0033,0.1574,500,6.38,"<.0001",0.05,0.6941,1.3124,0.000176
10,"b51",-0.2604,0.1669,500,-1.56,"0.1193",0.05,-0.5883,0.0675,0.000213
10,"b52",-0.2031,0.1494,500,-1.36,"0.1747",0.05,-0.4966,0.09048,-2e-05
11,"b01",-2.6307,0.3618,500,-7.27,"<.0001",0.05,-3.3415,-1.9199,4.6e-05
11,"b02",-1.4459,0.2457,500,-5.89,"<.0001",0.05,-1.9285,-0.9632,3.7e-05
11,"b11",0.4174,0.3631,500,1.15,"0.2509",0.05,-0.2961,1.1308,-1e-05
11,"b12",-0.2169,0.283,500,-0.77,"0.4439",0.05,-0.7729,0.3391,4e-05
11,"b21",0.2724,0.1637,500,1.66,"0.0968",0.05,-0.04932,0.5941,8.3e-05
11,"b22",0.07341,0.1334,500,0.55,"0.5823",0.05,-0.1887,0.3355,-7e-05
11,"b31",-0.4829,0.1718,500,-2.81,"0.0051",0.05,-0.8204,-0.1453,1.4e-05
11,"b32",-0.4212,0.1404,500,-3,"0.0028",0.05,-0.697,-0.1454,-8e-05
11,"b41",1.3259,0.1964,500,6.75,"<.0001",0.05,0.94,1.7118,0.000105
11,"b42",1.2106,0.1594,500,7.59,"<.0001",0.05,0.8974,1.5238,5.9e-05
11,"b51",-0.1368,0.1617,500,-0.85,"0.3982",0.05,-0.4546,0.181,0.000145
